law_nm,subject,relation,relation_category,object,article_number,confidence,concepts,created_at,pipeline_version,generator_model,evaluator_model,eval_score,retry_count
금융실명법,금융실명거래 및 비밀보장에 관한 법률,구성함,LOGICAL,실지명의에 의한 금융거래 실시,제1조,1,,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,1,1
금융실명법,금융실명거래 및 비밀보장에 관한 법률,구성함,LOGICAL,금융거래의 비밀 보장,제1조,1,,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,1,1
금융실명법,실지명의에 의한 금융거래 실시 및 비밀 보장,조건임,LOGICAL,금융거래의 정상화,제1조,0.9,금융거래의 정상화를 꾀함으로써,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,1,1
금융실명법,금융실명거래 및 비밀보장에 관한 법률,정함,LOGICAL,경제정의 실현,제1조,1,법의 목적,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,1,1
금융실명법,금융실명거래 및 비밀보장에 관한 법률,정함,LOGICAL,국민경제의 건전한 발전 도모,제1조,1,법의 목적,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,1,1
금융실명법,금융실명거래 및 비밀보장에 관한 법률,정의함,LOGICAL,금융회사등,제2조 제1호,1,용어의 뜻을 정함,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,금융회사등,구성함,LOGICAL,은행,제2조 제1호 가목,1,「은행법」에 따름,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,금융회사등,구성함,LOGICAL,중소기업은행,제2조 제1호 나목,1,「중소기업은행법」에 따름,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,금융회사등,구성함,LOGICAL,한국산업은행,제2조 제1호 다목,1,「한국산업은행법」에 따름,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,금융회사등,구성함,LOGICAL,한국수출입은행,제2조 제1호 라목,1,「한국수출입은행법」에 따름,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,금융회사등,구성함,LOGICAL,한국은행,제2조 제1호 마목,1,「한국은행법」에 따름,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,금융회사등,구성함,LOGICAL,투자매매업자ㆍ투자중개업자ㆍ집합투자업자ㆍ신탁업자ㆍ증권금융회사ㆍ종합금융회사 및 명의개서대행회사,제2조 제1호 바목,1,「자본시장과 금융투자업에 관한 법률」에 따름,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,금융회사등,구성함,LOGICAL,상호저축은행 및 상호저축은행중앙회,제2조 제1호 사목,1,「상호저축은행법」에 따름,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,금융회사등,구성함,LOGICAL,농업협동조합의 조합과 그 중앙회 및 농협은행,제2조 제1호 아목,1,「농업협동조합법」에 따름,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,금융회사등,구성함,LOGICAL,수산업협동조합의 조합과 그 중앙회 및 수협은행,제2조 제1호 자목,1,「수산업협동조합법」에 따름,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,금융회사등,구성함,LOGICAL,신용협동조합 및 신용협동조합중앙회,제2조 제1호 차목,1,「신용협동조합법」에 따름,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,금융회사등,구성함,LOGICAL,새마을금고의 금고 및 중앙회,제2조 제1호 카목,1,「새마을금고법」에 따름,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,금융회사등,구성함,LOGICAL,보험회사,제2조 제1호 타목,1,「보험업법」에 따름,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,금융회사등,구성함,LOGICAL,체신관서,제2조 제1호 파목,1,「우체국예금ㆍ보험에 관한 법률」에 따름,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,금융회사등,구성함,LOGICAL,대통령령으로 정하는 기관,제2조 제1호 하목,1,,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,금융자산,정의함,LOGICAL,금융회사등이 취급하는 예금ㆍ적금ㆍ부금(賦金)ㆍ계금(契金)ㆍ예탁금ㆍ출자금ㆍ신탁재산ㆍ주식ㆍ채권ㆍ수익증권ㆍ출자지분ㆍ어음ㆍ수표ㆍ채무증서 등 금전 및 유가증권과 그 밖에 이와 유사한 것으로서 총리령으로 정하는 것,제2조 제2호,1,금융회사등이 취급하는 자산|금전 및 유가증권|총리령으로 정하는 것,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.8,1
금융실명법,금융거래,정의함,LOGICAL,"금융회사등이 금융자산을 수입·매매·환매·중개·할인·발행·상환·환급·수탁·등록·교환하거나 그 이자, 할인액 또는 배당을 지급하는 것과 이를 대행하는 것 또는 그 밖에 금융자산을 대상으로 하는 거래로서 총리령으로 정하는 것",제2조 제3호,1,금융회사등이 주체임|금융자산을 대상으로 함|총리령으로 정하는 거래 포함,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,금융거래,구성함,LOGICAL,금융회사등의 금융자산 수입·매매·환매·중개·할인·발행·상환·환급·수탁·등록·교환 및 이자·할인액·배당 지급 행위,제2조 제3호,0.95,금융자산 대상,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,실지명의,정의함,LOGICAL,주민등록표상의 명의,제2조 제4호,1,,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,1,1
금융실명법,실지명의,정의함,LOGICAL,사업자등록증상의 명의,제2조 제4호,1,,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,1,1
금융실명법,실지명의,정의함,LOGICAL,대통령령으로 정하는 명의,제2조 제4호,1,,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,1,1
금융실명법,금융회사등,준수함,ACTION,실지명의에 의한 금융거래,제3조①,1,거래자의 실지명의(실명) 사용,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
금융실명법,금융회사등,허용함,ACTION,실명을 확인하지 아니하는 거래,제3조②,1,제1항에도 불구하고|다음 각 호의 어느 하나에 해당하는 경우,2026-07-04,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,0
