law_nm,subject,relation,relation_category,object,article_number,confidence,concepts,created_at,pipeline_version,generator_model,evaluator_model,eval_score,retry_count
자본시장법,자본시장과 금융투자업에 관한 법률,정함,LOGICAL,"자본시장에서의 금융혁신과 공정한 경쟁 촉진, 투자자 보호, 금융투자업의 건전한 육성",제1조,1,법의 목적|금융혁신 촉진|공정 경쟁 촉진|투자자 보호|금융투자업 육성,2026-07-02,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.8,0
자본시장법,자본시장과 금융투자업에 관한 법률,구성함,LOGICAL,자본시장의 공정성ㆍ신뢰성 및 효율성 제고,제1조,0.95,자본시장 효율성|공정성|신뢰성,2026-07-02,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.8,0
자본시장법,자본시장과 금융투자업에 관한 법률,조건임,LOGICAL,국민경제의 발전,제1조,0.9,국민경제 발전|법의 목적,2026-07-02,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.8,0
자본시장법,자본시장과 금융투자업에 관한 법률,적용대상임,SCOPE,국외에서 이루어진 행위로서 그 효과가 국내에 미치는 경우,제2조,1,국외행위의 적용 범위|국내 효과 발생,2026-07-02,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,2
자본시장법,제3조제1항의 금융투자상품,구성함,LOGICAL,증권,제3조②,1,금융투자상품의 구분|증권,2026-07-02,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,1,0
자본시장법,제3조제1항의 금융투자상품,구성함,LOGICAL,파생상품,제3조②,1,금융투자상품의 구분|파생상품,2026-07-02,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,1,0
자본시장법,파생상품,구성함,LOGICAL,장내파생상품,제3조②,1,파생상품의 세부 구분|장내파생상품,2026-07-02,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,1,0
자본시장법,파생상품,구성함,LOGICAL,장외파생상품,제3조②,1,파생상품의 세부 구분|장외파생상품,2026-07-02,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,1,0
자본시장법,제3조②,참조함,STRUCTURE,제3조①,제3조②,1,금융투자상품의 정의 참조,2026-07-02,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,1,0
자본시장법,자본시장과 금융투자업에 관한 법률,정의함,LOGICAL,증권,제4조①,1,증권의 정의|금융투자상품,2026-07-02,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.8,0
